predictor,fit
-30.90410959,20.00314859
-30.42092155,19.86893758
-29.9377335,19.73475017
-29.45454546,19.60060995
-28.97135741,19.46654053
-28.48816937,19.3325655
-28.00498132,19.19870846
-27.52179328,19.06499301
-27.03860523,18.93144274
-26.55541719,18.79808126
-26.07222914,18.66493216
-25.5890411,18.53201903
-25.10585305,18.39936549
-24.62266501,18.26699512
-24.13947696,18.13493152
-23.65628892,18.00319829
-23.17310087,17.87181903
-22.68991283,17.74081734
-22.20672478,17.61021681
-21.72353674,17.48004105
-21.24034869,17.35031364
-20.75716065,17.22105819
-20.2739726,17.0922983
-19.79078456,16.96405757
-19.30759651,16.83635958
-18.82440847,16.70922795
-18.34122042,16.58268626
-17.85803238,16.45675812
-17.37484433,16.33146712
-16.89165629,16.20683687
-16.40846824,16.08289095
-15.9252802,15.95965298
-15.44209215,15.83714653
-14.95890411,15.71539522
-14.47571607,15.59442264
-13.99252802,15.4742524
-13.50933998,15.35490807
-13.02615193,15.23641328
-12.54296389,15.1187916
-12.05977584,15.00206665
-11.5765878,14.88626201
-11.09339975,14.77140129
-10.61021171,14.65750796
-10.12702366,14.54460039
-9.643835617,14.4326902
-9.160647572,14.32178854
-8.677459527,14.21190657
-8.194271482,14.10305544
-7.711083437,13.99524629
-7.227895392,13.8884903
-6.744707348,13.7827986
-6.261519303,13.67818236
-5.778331258,13.57465273
-5.295143213,13.47222085
-4.811955168,13.3708979
-4.328767123,13.27069494
-3.845579078,13.17161757
-3.362391034,13.07366196
-2.879202989,12.97682333
-2.396014944,12.88109689
-1.912826899,12.78647788
-1.429638854,12.69296153
-0.946450809,12.60054305
-0.463262765,12.50921767
0.01992528,12.41898062
0.503113325,12.32982712
0.98630137,12.2417524
1.469489415,12.15475168
1.95267746,12.06882019
2.435865505,11.98395315
2.919053549,11.9001458
3.402241594,11.81739334
3.885429639,11.73569102
4.368617684,11.65503405
4.851805729,11.57541765
5.334993774,11.49683707
5.818181818,11.41928143
6.301369863,11.34271443
6.784557908,11.26709309
7.267745953,11.19237441
7.750933998,11.11851541
8.234122043,11.04547312
8.717310088,10.97320454
9.200498132,10.90166669
9.683686177,10.83081659
10.16687422,10.76061125
10.65006227,10.69100769
11.13325031,10.62196293
11.61643836,10.55343397
12.0996264,10.48537784
12.58281445,10.41775156
13.06600249,10.35051213
13.54919054,10.28361657
14.03237858,10.21702191
14.51556663,10.15068514
14.99875467,10.0845633
15.48194272,10.0186134
15.96513076,9.95279245
16.44831881,9.887057468
16.93150685,9.82136547
