ID,session,mature,age,sex,hemi,somatosensory_cortex_contra,superior_parietal_lobule_contra,inferior_parietal_lobule_contra,posterior_medial_cortex_contra
OLI,1,-22.3,37.6,M,R,720.5134,503.6981,623.1731,388.4909
OLI,2,-18.3,41.6,M,R,731.9503,512.8703,651.717,390.6357
OLI,3,-14.8,45.1,M,R,756.6198,504.533,663.1878,390.2755
OLI,4,-12,47.9,M,R,711.4818,493.7327,615.1561,379.3036
OLI,5,-8.8,51.1,M,R,738.7535,485.4695,616.5158,378.107
OLI,6,-5.8,54.1,M,R,712.5139,486.0241,599.5117,390.664
OLI,7,-2.5,57.4,M,R,752.6342,500.7489,639.7021,384.2687
OLI,8,0.5,60.4,M,R,732.6637,505.1687,625.9255,373.7111
OLI,9,4.6,64.5,M,R,748.6366,511.2987,641.7229,405.5729
OLI,10,6.7,66.6,M,R,721.137,510.8892,624.0132,380.568
OLI,11,10.1,70,M,R,737.619,503.5944,627.5748,378.8752
PIC,1,-43.1,35.5,M,L,712.5507,513.5052,603.3866,361.3006
PIC,2,-39.2,39.5,M,L,729.6228,517.6095,620.9903,363.5659
PIC,3,-35.7,43,M,L,756.1333,527.2884,645.2344,378.0306
PIC,4,-32.8,45.8,M,L,761.5103,510.5616,626.046,367.6872
PIC,5,-29.6,49.1,M,L,768.4293,512.8461,629.6505,360.4456
PIC,6,-26.5,52.1,M,L,794.4432,539.2643,647.1949,379.3761
PIC,7,-23.3,55.3,M,L,759.246,519.8956,619.7705,367.7171
PIC,8,-20.3,58.3,M,L,758.8004,522.1899,628.9109,367.5267
PIC,9,-15.9,62.8,M,L,780.8478,539.8041,646.2307,380.8411
PIC,10,-14.1,64.5,M,L,763.0391,523.9991,625.9287,362.7247
PIC,11,-10.7,67.9,M,L,753.0077,528.0742,620.4708,368.6354
QUA,1,-19.7,37.6,M,R,615.233,443.9105,565.9062,324.4161
QUA,2,-15.7,41.6,M,R,640.5096,459.8448,573.2443,324.0904
QUA,3,-12.2,45.1,M,R,646.7997,474.4551,605.7026,336.2072
QUA,4,-9.3,47.9,M,R,660.1487,451.4704,586.4765,333.2083
QUA,5,-6.1,51.2,M,R,646.3539,455.256,574.6646,327.4839
QUA,6,-3.2,54.1,M,R,648.0245,470.4195,591.0653,339.6032
QUA,7,0.1,57.4,M,R,649.8161,473.1018,605.5786,338.7797
ROS,1,-29.4,37.6,M,L,800.9644,521.3577,673.285,382.3307
ROS,2,-25.4,41.6,M,L,831.0896,561.3682,688.2771,381.1627
ROS,3,-21.9,45.1,M,L,835.3958,536.6646,699.0881,370.9416
ROS,4,-19.1,47.9,M,L,813.6342,507.9558,653.7349,355.3799
ROS,5,-15.8,51.2,M,L,833.6448,543.5568,699.7532,395.1121
ROS,6,-12.7,54.2,M,L,870.3191,561.2004,716.1576,394.8823
ROS,7,-9.5,57.4,M,L,827.3619,535.3561,679.1035,395.3929
ROS,8,-6.6,60.4,M,L,816.2137,540.3297,683.0615,378.8832
ROS,9,-2.5,64.5,M,L,831.2161,548.0905,680.2274,387.4823
ROS,10,-0.4,66.6,M,L,829.097,549.7998,705.5776,391.0814
ROS,11,3,70,M,L,841.2184,550.1185,663.2864,377.5048
SON,1,-22.3,33.2,M,R,681.6008,454.0859,538.7327,319.5657
SON,2,-18.3,37.1,M,R,695.2897,481.1167,558.5148,309.7895
SON,3,-14.8,40.7,M,R,697.8564,471.2273,560.7717,319.195
SON,4,-12,43.5,M,R,682.5525,470.8484,560.419,313.6656
SON,5,-8.8,46.7,M,R,706.2958,473.1245,571.0361,303.8568
SON,6,-5.6,49.8,M,R,679.4659,472.43,545.0917,321.5315
SON,7,-2.5,53,M,R,686.8302,456.7013,568.8427,317.7663
SON,8,0.5,56,M,R,689.6863,472.8872,554.6537,315.2726
SON,9,3.5,59,M,R,691.4482,473.4396,551.8482,317.6727
SON,10,6.7,62.2,M,R,684.2833,468.9517,560.7457,323.007
SON,11,10.1,65.6,M,R,671.4895,447.3816,520.5363,313.1927
TRI,1,-19.7,30.8,F,L,736.2472,555.6951,665.8412,374.3067
TRI,2,-15.7,34.8,F,L,781.3231,580.2104,692.1082,384.3094
TRI,3,-12.2,38.3,F,L,791.7327,582.6166,691.7292,368.049
TRI,4,-9.3,41.2,F,L,758.1448,535.319,652.868,368.0493
TRI,5,-6.1,44.4,F,L,734.1796,510.2174,619.6755,356.4655
TRI,6,-3.2,47.3,F,L,766.9207,548.5617,665.8664,384.6505
TRI,7,0.2,50.7,F,L,769.2631,542.8214,671.9183,360.0827
TRI,8,3.2,53.7,F,L,785.3239,557.6417,676.1014,382.6029
TRI,9,7.2,57.7,F,L,756.8281,542.6746,661.7457,375.8192
TRI,10,9.3,59.8,F,L,796.4631,567.1323,675.4282,377.1876
TRI,11,12.7,63.2,F,L,753.3603,542.0438,646.4543,363.8617
UNI,1,-13.1,32.1,F,R,670.4589,467.4162,592.1519,309.6714
UNI,2,-9.2,36,F,R,681.6788,466.1767,596.5154,313.7679
UNI,3,-5.6,39.6,F,R,675.5298,453.7271,594.3928,306.1176
UNI,4,-2.8,42.4,F,R,691.5068,454.5754,594.883,308.6521
UNI,5,0.4,45.6,F,R,695.0341,458.5115,591.4366,302.3246
UNI,6,3.5,48.7,F,R,701.7834,455.2611,606.7841,304.781
UNI,7,6.7,51.9,F,R,676.2734,448.959,576.4269,301.6725
UNI,8,9.7,54.9,F,R,695.8132,456.3355,600.9561,310.554
UNI,9,13.7,58.9,F,R,709.4877,477.718,619.5436,312.333
UNI,10,15.9,61.1,F,R,690.3453,453.5169,602.6011,304.8095
UNI,11,19.2,64.4,F,R,683.558,447.3273,576.3431,301.7984
VIK,1,-19.7,36.2,M,R,731.7518,502.3042,655.3968,390.9995
VIK,2,-15.7,40.1,M,R,737.4394,490.3398,639.8324,371.3924
VIK,3,-12.2,43.6,M,R,736.9841,512.1677,651.1738,390.7607
VIK,4,-9.4,46.5,M,R,729.8506,498.591,620.6607,371.5995
VIK,5,-6.1,49.7,M,R,718.4512,490.1293,634.0733,377.2139
VIK,6,-3.1,52.7,M,R,742.8415,508.8946,646.8106,374.6233
VIK,7,0.1,56,M,R,744.9308,499.4907,654.9788,381.3005
VIK,8,3.1,59,M,R,718.4196,489.4669,621.4135,373.9835
VIK,9,7.2,63,M,R,742.8536,509.9945,649.7075,380.5637
VIK,10,9.3,65.2,M,R,746.7776,513.3397,663.8668,394.0662
VIK,11,12.7,68.5,M,R,737.5335,488.0961,646.243,376.5596
