ID,session,mature,age,sex,hemi,Frontal_contra,Parietal_contra,Temporal_contra,Occipital_contra
OLI,1,-22.3,37.6,M,R,5870.625,3632.875,3721.375,4502.375
OLI,2,-18.3,41.6,M,R,5895.25,3683.75,3587.25,4334.5
OLI,3,-14.8,45.1,M,R,6457.875,3827.875,3975.625,4598.75
OLI,4,-12,47.9,M,R,5881.625,3554.5,3739.625,4443.875
OLI,5,-8.8,51.1,M,R,6093.5,3656.375,3877.875,4526.625
OLI,6,-5.8,54.1,M,R,5807.625,3606.625,3467.5,4342.75
OLI,7,-2.5,57.4,M,R,5962.75,3745.75,3696.5,4647.25
OLI,8,0.5,60.4,M,R,5833,3727.375,3619.25,4498.25
OLI,9,4.6,64.5,M,R,6039.25,3824.125,3741.5,4552.25
OLI,10,6.7,66.6,M,R,5638.625,3705.875,3557.5,4490.125
OLI,11,10.1,70,M,R,5574.375,3689,3649.125,4501.875
PIC,1,-43.1,35.5,M,L,5924.625,3911.75,4021.75,4834.875
PIC,2,-39.2,39.5,M,L,5965.25,3965.75,4077.875,4899.25
PIC,3,-35.7,43,M,L,6078.375,4079.25,3744.875,4917.5
PIC,4,-32.8,45.8,M,L,6125.25,3864.125,4083.25,4611.25
PIC,5,-29.6,49.1,M,L,6038.625,4055.125,3822.5,4876.875
PIC,6,-26.5,52.1,M,L,6348.875,4162.25,3955,5094.375
PIC,7,-23.3,55.3,M,L,6175.5,4007.375,4240.25,4959.25
PIC,8,-20.3,58.3,M,L,6170.125,4080.125,4147,5051.5
PIC,9,-15.9,62.8,M,L,6022.125,3968.25,4136.375,5040.75
PIC,10,-14.1,64.5,M,L,6281.125,3967.375,4180.625,5016.875
PIC,11,-10.7,67.9,M,L,6039.875,4113.875,4082.75,5119.875
QUA,1,-19.7,37.6,M,R,5091.875,3110.5,3936.625,4444.5
QUA,2,-15.7,41.6,M,R,5265.125,3248.125,3988.5,4538.625
QUA,3,-12.2,45.1,M,R,5701.75,3384.5,3751.125,4748.125
QUA,4,-9.3,47.9,M,R,5651.75,3342.125,3917.75,4549.875
QUA,5,-6.1,51.2,M,R,5828.25,3328.375,3825.625,4543
QUA,6,-3.2,54.1,M,R,5524.25,3333.375,3743.25,4578.125
QUA,7,0.1,57.4,M,R,5633.375,3396.25,3956.875,4766
ROS,1,-29.4,37.6,M,L,6597.625,4160.875,4385.5,5520.875
ROS,2,-25.4,41.6,M,L,7036.625,4455.625,3996.625,5815.375
ROS,3,-21.9,45.1,M,L,7114.375,4353.25,4426.375,5757.875
ROS,4,-19.1,47.9,M,L,6827.5,4309.375,4347,5551.5
ROS,5,-15.8,51.2,M,L,6845.875,4412.5,4261.25,5714.625
ROS,6,-12.7,54.2,M,L,7674.375,4587.25,4746.125,5937.75
ROS,7,-9.5,57.4,M,L,6869,4431.5,4662.375,5803
ROS,8,-6.6,60.4,M,L,6929.625,4434.625,4688.125,5944.25
ROS,9,-2.5,64.5,M,L,7173.25,4439.875,4557.125,5818.125
ROS,10,-0.4,66.6,M,L,7265.75,4618,4823.875,5957.5
ROS,11,3,70,M,L,7118.375,4371.5,4440,5784.875
SON,1,-22.3,33.2,M,R,5839.875,3263.25,3634,4234.5
SON,2,-18.3,37.1,M,R,6169.75,3479.375,3469,4394.875
SON,3,-14.8,40.7,M,R,6136,3444,3397.375,4430.375
SON,4,-12,43.5,M,R,6199.75,3363.25,3756,4381.875
SON,5,-8.8,46.7,M,R,6516.375,3462.125,3841.25,4428.875
SON,6,-5.6,49.8,M,R,6013.375,3370.75,3415,4349.125
SON,7,-2.5,53,M,R,5730.625,3353.75,3731.5,4419.875
SON,8,0.5,56,M,R,6130.875,3384.5,3808.75,4512.125
SON,9,3.5,59,M,R,6029.625,3447.25,3769.125,4448.75
SON,10,6.7,62.2,M,R,5973.5,3411.375,3615.75,4365.625
SON,11,10.1,65.6,M,R,5623.5,3218.25,3552.125,4191.75
TRI,1,-19.7,30.8,F,L,6580.625,4367.25,4562.25,5479
TRI,2,-15.7,34.8,F,L,6411.125,4392.125,4242.25,5290.125
TRI,3,-12.2,38.3,F,L,6478,4452.625,4242.375,5343.625
TRI,4,-9.3,41.2,F,L,6299.75,4222.875,4363.5,5349.75
TRI,5,-6.1,44.4,F,L,6410.5,4128.75,4384.375,5386.875
TRI,6,-3.2,47.3,F,L,6412.125,4305.125,4320.875,5483.125
TRI,7,0.2,50.7,F,L,6274.875,4239.75,4404.25,5364.625
TRI,8,3.2,53.7,F,L,6390.25,4342.875,4406.25,5555.875
TRI,9,7.2,57.7,F,L,6755.625,4438.5,4679.75,5624.625
TRI,10,9.3,59.8,F,L,6724.125,4572.125,4607,5640.75
TRI,11,12.7,63.2,F,L,6245.75,4228.625,4275,5416.375
UNI,1,-13.1,32.1,F,R,5532.75,3378.125,3701.75,4656.5
UNI,2,-9.2,36,F,R,5652.875,3353.75,3469.25,4620.25
UNI,3,-5.6,39.6,F,R,5587.625,3398.625,3464.75,4625
UNI,4,-2.8,42.4,F,R,5781.75,3380.375,3672,4718.875
UNI,5,0.4,45.6,F,R,5983.375,3428.25,3619.125,4501.375
UNI,6,3.5,48.7,F,R,5673.25,3475.125,3626.5,4662.25
UNI,7,6.7,51.9,F,R,5525.75,3331.375,3570.75,4685.75
UNI,8,9.7,54.9,F,R,5686.375,3483.375,3623.375,4703
UNI,9,13.7,58.9,F,R,6066.5,3562.25,3797.125,4764.25
UNI,10,15.9,61.1,F,R,5658.25,3427.5,3716.875,4737.625
UNI,11,19.2,64.4,F,R,5433.75,3305.375,3459.375,4562.75
VIK,1,-19.7,36.2,M,R,6449.25,3799.375,4258.875,4971.25
VIK,2,-15.7,40.1,M,R,6618.625,3718.5,3540.125,4936.5
VIK,3,-12.2,43.6,M,R,6338.625,3785.75,3555,4825.75
VIK,4,-9.4,46.5,M,R,6461.25,3649.625,4087.875,4853.875
VIK,5,-6.1,49.7,M,R,6512.625,3631.5,3763.25,4819.375
VIK,6,-3.1,52.7,M,R,6747.125,3800.75,4027,5018.25
VIK,7,0.1,56,M,R,6433.75,3832.5,3997.875,5070
VIK,8,3.1,59,M,R,6343,3707.75,4141.375,4995.875
VIK,9,7.2,63,M,R,6639.25,3816.25,4112.125,5051.125
VIK,10,9.3,65.2,M,R,6822,3877.75,4178.625,4991.125
VIK,11,12.7,68.5,M,R,5801.875,3704,3851,4975
