ID,session,mature,age,sex,hemi,somatosensory_cortex_contra,superior_parietal_lobe_contra,inferior_parietal_lobe_contra,posterior_medial_cortex_contra
OLI,1,-22.3,37.6,M,R,1127.625,775,1026.625,714.875
OLI,2,-18.3,41.6,M,R,1142.875,791.5,1045.75,709.25
OLI,3,-14.8,45.1,M,R,1206,798.5,1111.125,715.75
OLI,4,-12,47.9,M,R,1109.75,742.375,993.75,715
OLI,5,-8.8,51.1,M,R,1166.125,763.25,1018.25,715.5
OLI,6,-5.8,54.1,M,R,1122.125,768,991.25,730.25
OLI,7,-2.5,57.4,M,R,1209.375,785.5,1042.375,715.75
OLI,8,0.5,60.4,M,R,1191.125,771.5,1060.875,709.75
OLI,9,4.6,64.5,M,R,1224.625,802,1061.625,740.875
OLI,10,6.7,66.6,M,R,1158.375,790.625,1047.375,718.5
OLI,11,10.1,70,M,R,1166,788.75,1027.5,713.75
PIC,1,-43.1,35.5,M,L,1198.5,886.25,1104.75,722.25
PIC,2,-39.2,39.5,M,L,1267.375,878.125,1112.5,707.75
PIC,3,-35.7,43,M,L,1316,913.75,1143.5,706
PIC,4,-32.8,45.8,M,L,1205.75,884.375,1060.875,713.125
PIC,5,-29.6,49.1,M,L,1313.5,902.125,1150.25,689.25
PIC,6,-26.5,52.1,M,L,1335.25,942.125,1157.125,727.75
PIC,7,-23.3,55.3,M,L,1249.25,916.875,1130,711.25
PIC,8,-20.3,58.3,M,L,1256.375,922,1151.75,750
PIC,9,-15.9,62.8,M,L,1211.125,924.125,1116.25,716.75
PIC,10,-14.1,64.5,M,L,1227.625,900.375,1134.875,704.5
PIC,11,-10.7,67.9,M,L,1281,922.625,1172,738.25
QUA,1,-19.7,37.6,M,R,922.875,679.25,916.375,597.25
QUA,2,-15.7,41.6,M,R,978.875,704.875,972.875,594.375
QUA,3,-12.2,45.1,M,R,1009.625,746.75,1023.875,608.625
QUA,4,-9.3,47.9,M,R,1027,697,1009.375,613
QUA,5,-6.1,51.2,M,R,1011.125,716.625,1001.375,605.125
QUA,6,-3.2,54.1,M,R,987,743.625,983.875,621.5
QUA,7,0.1,57.4,M,R,1031.75,749.125,994.625,627.625
ROS,1,-29.4,37.6,M,L,1325.25,884.125,1224.625,726.875
ROS,2,-25.4,41.6,M,L,1469.875,973.25,1294.375,718.125
ROS,3,-21.9,45.1,M,L,1451.25,922.25,1285,694.75
ROS,4,-19.1,47.9,M,L,1430.625,915.25,1286.875,676.625
ROS,5,-15.8,51.2,M,L,1422.25,947.5,1299.375,743.375
ROS,6,-12.7,54.2,M,L,1533.125,981.5,1348,724.625
ROS,7,-9.5,57.4,M,L,1464.125,945.375,1299.5,722.5
ROS,8,-6.6,60.4,M,L,1422.75,975.25,1308.875,727.75
ROS,9,-2.5,64.5,M,L,1490.375,946.75,1293.75,709
ROS,10,-0.4,66.6,M,L,1515.25,985.125,1375.5,742.125
ROS,11,3,70,M,L,1453,925.75,1271.875,720.875
SON,1,-22.3,33.2,M,R,1066,712.375,883.125,612.25
SON,2,-18.3,37.1,M,R,1122.625,786,967.375,611.75
SON,3,-14.8,40.7,M,R,1117.875,768.5,949.75,614.625
SON,4,-12,43.5,M,R,1086.75,759.375,930.5,593.5
SON,5,-8.8,46.7,M,R,1158.875,792,942.375,575.25
SON,6,-5.6,49.8,M,R,1091,748,933,603.25
SON,7,-2.5,53,M,R,1080.375,736.125,961.875,582.375
SON,8,0.5,56,M,R,1104.25,752,928.5,604.25
SON,9,3.5,59,M,R,1124.625,775.75,939.25,616.5
SON,10,6.7,62.2,M,R,1115.75,757.625,935.5,608
SON,11,10.1,65.6,M,R,1068.25,704.375,868,587.125
TRI,1,-19.7,30.8,F,L,1359.25,975.625,1193.375,839
TRI,2,-15.7,34.8,F,L,1375.375,1008,1180.375,828.375
TRI,3,-12.2,38.3,F,L,1392.75,1019.75,1215.375,824.75
TRI,4,-9.3,41.2,F,L,1327,974.25,1145.125,776.5
TRI,5,-6.1,44.4,F,L,1313.625,924.25,1154.375,736.5
TRI,6,-3.2,47.3,F,L,1357,958.5,1170.75,818.875
TRI,7,0.2,50.7,F,L,1317.25,964,1160.75,797.75
TRI,8,3.2,53.7,F,L,1364.75,991.75,1175.75,810.625
TRI,9,7.2,57.7,F,L,1435,994.375,1210,799.125
TRI,10,9.3,59.8,F,L,1474.25,1024.5,1236.875,836.5
TRI,11,12.7,63.2,F,L,1321.625,954.5,1159.25,793.25
UNI,1,-13.1,32.1,F,R,1046.625,763.625,1008.375,566.625
UNI,2,-9.2,36,F,R,1050.625,752.625,998.875,552
UNI,3,-5.6,39.6,F,R,1078,750.375,995.25,578.875
UNI,4,-2.8,42.4,F,R,1094.25,731.25,986,572.875
UNI,5,0.4,45.6,F,R,1111.375,762.5,1009.625,550.25
UNI,6,3.5,48.7,F,R,1138.25,754.875,1018.625,568.125
UNI,7,6.7,51.9,F,R,1057,744.5,982.75,552
UNI,8,9.7,54.9,F,R,1116.125,753.375,1049.125,573.375
UNI,9,13.7,58.9,F,R,1158.625,785.625,1050.25,570.75
UNI,10,15.9,61.1,F,R,1098.625,748.75,1020,566.875
UNI,11,19.2,64.4,F,R,1078.75,714.125,959.375,558.875
VIK,1,-19.7,36.2,M,R,1158.625,830.5,1109.375,712.125
VIK,2,-15.7,40.1,M,R,1140.75,809.75,1078,698.5
VIK,3,-12.2,43.6,M,R,1166.25,842.75,1073.375,711.75
VIK,4,-9.4,46.5,M,R,1130.625,802.375,1031.625,690.5
VIK,5,-6.1,49.7,M,R,1120.625,791,1030.125,695.5
VIK,6,-3.1,52.7,M,R,1161.625,847.5,1099.5,701
VIK,7,0.1,56,M,R,1175,859.625,1102.625,703
VIK,8,3.1,59,M,R,1136.375,835.125,1052.125,692.375
VIK,9,7.2,63,M,R,1185.25,852.875,1096.5,690.375
VIK,10,9.3,65.2,M,R,1189.125,876,1114.75,704.375
VIK,11,12.7,68.5,M,R,1151.875,815.125,1048.875,695.125
